experiment name,Date,t_start,t_pulse_start,t_end,WF,FR [%],Q [W],alpha,beta
php,14-04-2024,12:26:20,00:00:00,13:25:00,DI water,60,40,30,0
php,14-04-2024,15:26:01,15:37:10,16:25:00,DI water,60,60,30,0
php,15-04-2024,10:55:37,11:11:30,11:55:00,DI water,60,80,30,0
php,15-04-2024,14:14:20,14:26:00,15:14:00,DI water,60,100,30,0
php,16-04-2024,10:45:00,10:55:00,11:45:00,DI water,60,120,30,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
